match_id,comp_a,comp_b,a_1,a_2,a_3,b_1,b_2,b_3,score_a,score_b,win_prob_a,label
38,"(2, 16, 18)","(16, 18, 20)",2,16,18,16,18,20,36,54,0.30769232,1.0
39,"(6, 9, 20)","(2, 7, 20)",6,9,20,2,7,20,35,29,0.5929332,0.0
40,"(2, 4, 5)","(3, 9, 16)",2,4,5,3,9,16,11,28,0.13370165,0.0
41,"(8, 9, 20)","(2, 3, 19)",8,9,20,2,3,19,37,24,0.70385605,1.0
42,"(7, 9, 20)","(3, 17, 18)",7,9,20,3,17,18,36,38,0.4729927,0.0
43,"(3, 9, 20)","(5, 11, 14)",3,9,20,5,11,14,32,30,0.53222454,1.0
44,"(1, 6, 18)","(9, 10, 12)",1,6,18,9,10,12,25,31,0.39407313,0.0
45,"(14, 15, 17)","(3, 11, 16)",14,15,17,3,11,16,46,30,0.7015915,0.0
46,"(4, 8, 15)","(8, 11, 16)",4,8,15,8,11,16,27,35,0.37308085,0.0
47,"(10, 18, 20)","(6, 9, 13)",10,18,20,6,9,13,48,28,0.746114,0.0
48,"(6, 17, 20)","(3, 4, 13)",6,17,20,3,4,13,43,20,0.8221432,1.0
49,"(8, 12, 16)","(11, 14, 19)",8,12,16,11,14,19,36,44,0.4009901,1.0
50,"(8, 10, 12)","(4, 7, 14)",8,10,12,4,7,14,30,25,0.59016395,1.0
51,"(2, 6, 9)","(2, 3, 5)",2,6,9,2,3,5,17,10,0.7429306,1.0
52,"(3, 10, 20)","(13, 16, 19)",3,10,20,13,16,19,33,48,0.32095492,0.0
53,"(4, 10, 18)","(11, 15, 16)",4,10,18,11,15,16,32,42,0.36728838,0.0
54,"(4, 15, 18)","(1, 5, 11)",4,15,18,1,5,11,37,17,0.8256936,1.0
55,"(1, 4, 19)","(11, 13, 14)",1,4,19,11,13,14,24,38,0.2851485,0.0
56,"(5, 9, 14)","(12, 17, 20)",5,9,14,12,17,20,28,49,0.24615385,0.0
57,"(2, 3, 8)","(9, 12, 19)",2,3,8,9,12,19,13,40,0.0955342,0.0
58,"(7, 16, 20)","(2, 12, 15)",7,16,20,2,12,15,43,29,0.6873606,1.0
59,"(7, 8, 11)","(6, 9, 19)",7,8,11,6,9,19,26,34,0.36899564,0.0
60,"(11, 17, 19)","(5, 8, 15)",11,17,19,5,8,15,47,28,0.73805547,1.0
61,"(7, 17, 19)","(6, 8, 17)",7,17,19,6,8,17,43,31,0.65800714,1.0
62,"(3, 11, 14)","(6, 8, 13)",3,11,14,6,8,13,28,27,0.5181758,1.0
63,"(13, 18, 19)","(6, 10, 18)",13,18,19,6,10,18,50,34,0.68380743,1.0
64,"(4, 5, 14)","(5, 6, 12)",4,5,14,5,6,12,23,23,0.5,1.0
65,"(3, 7, 10)","(7, 8, 20)",3,7,10,7,8,20,20,35,0.24615385,0.0
66,"(11, 13, 18)","(5, 7, 14)",11,13,18,5,7,14,42,26,0.7229508,1.0
67,"(3, 11, 19)","(1, 3, 4)",3,11,19,1,3,4,33,8,0.94449264,1.0
68,"(1, 7, 15)","(1, 4, 10)",1,7,15,1,4,10,23,15,0.7015915,1.0
69,"(4, 11, 12)","(13, 15, 18)",4,11,12,13,15,18,27,46,0.25623903,0.0
70,"(8, 15, 18)","(11, 14, 16)",8,15,18,11,14,16,41,41,0.5,0.0
71,"(2, 5, 17)","(5, 14, 18)",2,5,17,5,14,18,24,37,0.29614395,0.0
72,"(4, 10, 13)","(2, 4, 16)",4,10,13,2,4,16,27,22,0.6009893,1.0
73,"(1, 13, 19)","(8, 12, 19)",1,13,19,8,12,19,33,39,0.41724136,0.0
74,"(7, 8, 15)","(1, 16, 19)",7,8,15,1,16,19,30,36,0.40983605,1.0
75,"(4, 11, 19)","(3, 12, 19)",4,11,19,3,12,19,34,34,0.5,0.0
76,"(3, 7, 15)","(3, 7, 15)",3,7,15,3,7,15,25,25,0.5,0.0
77,"(2, 9, 10)","(1, 2, 17)",2,9,10,1,2,17,21,20,0.52437574,1.0
78,"(5, 11, 15)","(8, 19, 20)",5,11,15,8,19,20,31,47,0.3031546,0.0
79,"(6, 15, 18)","(5, 6, 8)",6,15,18,5,6,8,39,19,0.8081828,1.0
80,"(12, 15, 18)","(3, 6, 12)",12,15,18,3,6,12,45,21,0.8211679,1.0
81,"(4, 7, 17)","(4, 18, 20)",4,7,17,4,18,20,28,42,0.30769232,0.0
82,"(2, 3, 16)","(1, 2, 3)",2,3,16,1,2,3,21,6,0.9245283,1.0
83,"(9, 13, 16)","(4, 7, 17)",9,13,16,4,7,17,38,28,0.6481149,1.0
84,"(6, 9, 17)","(5, 6, 19)",6,9,17,5,6,19,32,30,0.53222454,0.0
85,"(7, 9, 20)","(3, 8, 14)",7,9,20,3,8,14,36,25,0.67464864,1.0
86,"(1, 9, 15)","(9, 12, 20)",1,9,15,9,12,20,25,41,0.2710321,1.0
87,"(3, 6, 8)","(2, 11, 17)",3,6,8,2,11,17,17,30,0.2430614,0.0
88,"(8, 11, 12)","(1, 15, 17)",8,11,12,1,15,17,31,33,0.4687805,1.0
89,"(9, 13, 15)","(5, 7, 15)",9,13,15,5,7,15,37,27,0.6525262,1.0
90,"(4, 7, 15)","(10, 16, 18)",4,7,15,10,16,18,26,44,0.2588055,0.0
91,"(8, 18, 19)","(3, 12, 16)",8,18,19,3,12,16,45,31,0.6781648,0.0
92,"(9, 14, 20)","(1, 5, 8)",9,14,20,1,5,8,43,14,0.9041565,1.0
93,"(3, 14, 17)","(14, 15, 16)",3,14,17,14,15,16,34,45,0.36340773,0.0
94,"(11, 12, 16)","(4, 8, 13)",11,12,16,4,8,13,39,25,0.7087605,0.0
95,"(3, 4, 9)","(2, 4, 14)",3,4,9,2,4,14,16,20,0.3902439,0.0
96,"(2, 10, 15)","(6, 8, 12)",2,10,15,6,8,12,27,26,0.51886123,0.0
97,"(7, 8, 11)","(3, 6, 16)",7,8,11,3,6,16,26,25,0.51960033,0.0
98,"(6, 10, 15)","(12, 15, 16)",6,10,15,12,15,16,31,43,0.34199288,1.0
99,"(1, 15, 19)","(3, 4, 16)",1,15,19,3,4,16,35,23,0.69840366,0.0
100,"(9, 13, 16)","(5, 9, 18)",9,13,16,5,9,18,38,32,0.58508915,1.0
101,"(2, 6, 15)","(5, 9, 10)",2,6,15,5,9,10,23,24,0.47873303,0.0
102,"(8, 18, 19)","(2, 10, 18)",8,18,19,2,10,18,45,30,0.6923077,1.0
103,"(1, 2, 11)","(4, 15, 20)",1,2,11,4,15,20,14,39,0.114152595,0.0
104,"(8, 15, 19)","(1, 10, 19)",8,15,19,1,10,19,42,30,0.6621622,0.0
105,"(8, 13, 19)","(6, 11, 14)",8,13,19,6,11,14,40,31,0.624756,1.0
106,"(8, 12, 18)","(8, 9, 20)",8,12,18,8,9,20,38,37,0.51333094,1.0
107,"(6, 14, 17)","(12, 19, 20)",6,14,17,12,19,20,37,51,0.34483626,0.0
108,"(4, 11, 14)","(3, 7, 10)",4,11,14,3,7,10,29,20,0.6776793,1.0
109,"(7, 10, 15)","(3, 4, 6)",7,10,15,3,4,6,32,13,0.8583403,1.0
110,"(2, 16, 18)","(5, 9, 16)",2,16,18,5,9,16,36,30,0.59016395,1.0
111,"(8, 12, 19)","(7, 9, 11)",8,12,19,7,9,11,39,27,0.676,1.0
112,"(5, 10, 14)","(16, 17, 19)",5,10,14,16,17,19,29,52,0.23723555,0.0
113,"(4, 9, 19)","(1, 3, 14)",4,9,19,1,3,14,32,18,0.7596439,0.0
114,"(4, 17, 20)","(2, 10, 13)",4,17,20,2,10,13,41,25,0.7289679,1.0
115,"(5, 11, 20)","(2, 13, 17)",5,11,20,2,13,17,36,32,0.5586207,0.0
116,"(1, 4, 12)","(2, 12, 16)",1,4,12,2,12,16,17,30,0.2430614,0.0
117,"(1, 15, 19)","(4, 10, 14)",1,15,19,4,10,14,35,28,0.6097561,0.0
118,"(2, 11, 12)","(10, 13, 17)",2,11,12,10,13,17,25,40,0.28089887,0.0
119,"(1, 11, 16)","(1, 4, 5)",1,11,16,1,4,5,28,10,0.88687783,1.0
120,"(4, 7, 20)","(9, 11, 12)",4,7,20,9,11,12,31,32,0.48413098,1.0
121,"(6, 15, 16)","(6, 8, 15)",6,15,16,6,8,15,37,29,0.619457,1.0
122,"(6, 12, 19)","(6, 8, 12)",6,12,19,6,8,12,37,26,0.66943765,1.0
123,"(4, 11, 14)","(6, 18, 19)",4,11,14,6,18,19,29,43,0.31263942,0.0
124,"(9, 19, 20)","(1, 11, 17)",9,19,20,1,11,17,48,29,0.7325914,1.0
125,"(5, 11, 16)","(7, 18, 19)",5,11,16,7,18,19,32,44,0.34594595,0.0
126,"(1, 7, 18)","(2, 11, 15)",1,7,18,2,11,15,26,28,0.4630137,0.0
127,"(8, 10, 18)","(5, 6, 15)",8,10,18,5,6,15,36,26,0.6572008,1.0
128,"(5, 12, 19)","(6, 17, 19)",5,12,19,6,17,19,36,42,0.42352942,1.0
129,"(6, 10, 13)","(6, 7, 11)",6,10,13,6,7,11,29,24,0.5935074,0.0
130,"(5, 11, 16)","(3, 6, 20)",5,11,16,3,6,20,32,29,0.54906166,1.0
131,"(5, 10, 12)","(3, 16, 18)",5,10,12,3,16,18,27,37,0.34747377,0.0
132,"(1, 8, 19)","(4, 11, 20)",1,8,19,4,11,20,28,35,0.3902439,0.0
133,"(5, 10, 18)","(1, 4, 17)",5,10,18,1,4,17,33,22,0.6923077,1.0
134,"(8, 15, 17)","(7, 13, 15)",8,15,17,7,13,15,40,35,0.5663717,0.0
135,"(3, 5, 12)","(1, 9, 18)",3,5,12,1,9,18,20,28,0.33783785,0.0
136,"(6, 7, 10)","(4, 9, 18)",6,7,10,4,9,18,23,31,0.35503355,0.0
137,"(1, 4, 5)","(6, 12, 19)",1,4,5,6,12,19,10,37,0.06807352,0.0
138,"(3, 9, 12)","(1, 7, 19)",3,9,12,1,7,19,24,27,0.4413793,0.0
139,"(4, 7, 16)","(16, 18, 20)",4,7,16,16,18,20,27,54,0.2,1.0
140,"(15, 16, 17)","(3, 12, 19)",15,16,17,3,12,19,48,34,0.66589594,1.0
141,"(2, 7, 19)","(1, 3, 4)",2,7,19,1,3,4,28,8,0.9245283,1.0
142,"(2, 16, 18)","(6, 13, 16)",2,16,18,6,13,16,36,35,0.5140817,1.0
143,"(4, 5, 11)","(5, 10, 16)",4,5,11,5,10,16,20,31,0.29390153,1.0
144,"(16, 17, 19)","(6, 10, 19)",16,17,19,6,10,19,52,35,0.68821585,1.0
145,"(9, 18, 19)","(8, 9, 12)",9,18,19,8,9,12,46,29,0.7155901,0.0
146,"(1, 4, 9)","(4, 11, 19)",1,4,9,4,11,19,14,34,0.14497042,1.0
147,"(2, 9, 18)","(9, 12, 16)",2,9,18,9,12,16,29,37,0.380543,0.0
148,"(9, 11, 18)","(3, 11, 18)",9,11,18,3,11,18,38,32,0.58508915,0.0
149,"(1, 6, 7)","(5, 9, 12)",1,6,7,5,9,12,14,26,0.22477064,0.0
150,"(10, 11, 12)","(2, 3, 13)",10,11,12,2,3,13,33,18,0.77070063,1.0
151,"(2, 17, 20)","(6, 8, 17)",2,17,20,6,8,17,39,31,0.6128122,1.0
152,"(11, 16, 17)","(2, 13, 16)",11,16,17,2,13,16,44,31,0.6682775,1.0
153,"(3, 4, 15)","(7, 9, 16)",3,4,15,7,9,16,22,32,0.32095492,0.0
154,"(4, 7, 14)","(8, 16, 20)",4,7,14,8,16,20,25,44,0.24404529,0.0
155,"(6, 13, 20)","(10, 11, 16)",6,13,20,10,11,16,39,37,0.52629757,1.0
156,"(1, 13, 14)","(12, 13, 17)",1,13,14,12,13,17,28,42,0.30769232,0.0
157,"(5, 10, 16)","(1, 12, 17)",5,10,16,1,12,17,31,30,0.516389,0.0
158,"(4, 17, 19)","(1, 15, 17)",4,17,19,1,15,17,40,33,0.5950167,1.0
159,"(8, 13, 15)","(11, 19, 20)",8,13,15,11,19,20,36,50,0.341412,0.0
160,"(16, 19, 20)","(3, 13, 16)",16,19,20,3,13,16,55,32,0.747098,0.0
161,"(6, 14, 17)","(1, 3, 15)",6,14,17,1,3,15,37,19,0.7913295,0.0
162,"(4, 5, 12)","(3, 4, 8)",4,5,12,3,4,8,21,15,0.6621622,1.0
163,"(4, 5, 9)","(9, 13, 20)",4,5,9,9,13,20,18,42,0.15517241,0.0
164,"(4, 6, 8)","(3, 9, 20)",4,6,8,3,9,20,18,32,0.24035609,0.0
165,"(9, 10, 18)","(1, 7, 15)",9,10,18,1,7,15,37,23,0.7212856,0.0
166,"(3, 6, 18)","(7, 12, 18)",3,6,18,7,12,18,27,37,0.34747377,0.0
167,"(2, 4, 7)","(2, 6, 9)",2,4,7,2,6,9,13,17,0.36899564,1.0
168,"(3, 7, 20)","(3, 9, 18)",3,7,20,3,9,18,30,30,0.5,0.0
169,"(1, 3, 11)","(1, 2, 7)",1,3,11,1,2,7,15,10,0.6923077,1.0
170,"(1, 10, 16)","(6, 7, 9)",1,10,16,6,7,9,27,22,0.6009893,0.0
171,"(1, 8, 18)","(4, 8, 14)",1,8,18,4,8,14,27,26,0.51886123,0.0
172,"(8, 11, 16)","(10, 12, 17)",8,11,16,10,12,17,35,39,0.44610342,1.0
173,"(7, 12, 18)","(3, 7, 20)",7,12,18,3,7,20,37,30,0.6033495,1.0
174,"(7, 9, 16)","(2, 7, 8)",7,9,16,2,7,8,32,17,0.7798934,1.0
175,"(4, 10, 12)","(2, 4, 6)",4,10,12,2,4,6,26,12,0.82439023,1.0
176,"(7, 11, 20)","(2, 6, 16)",7,11,20,2,6,16,38,24,0.7148515,1.0
177,"(2, 3, 16)","(4, 9, 10)",2,3,16,4,9,10,21,23,0.45463917,0.0
178,"(11, 12, 19)","(1, 8, 15)",11,12,19,1,8,15,42,24,0.75384617,1.0
179,"(4, 16, 18)","(3, 18, 20)",4,16,18,3,18,20,38,41,0.46208,0.0
180,"(12, 15, 16)","(9, 19, 20)",12,15,16,9,19,20,43,48,0.44522032,1.0
181,"(2, 3, 6)","(8, 11, 12)",2,3,6,8,11,12,11,31,0.111829944,0.0
182,"(4, 15, 17)","(6, 10, 16)",4,15,17,6,10,16,36,32,0.5586207,1.0
183,"(7, 9, 15)","(10, 18, 20)",7,9,15,10,18,20,31,48,0.29433385,0.0
184,"(4, 15, 16)","(8, 12, 18)",4,15,16,8,12,18,35,38,0.4589734,0.0
185,"(4, 8, 15)","(6, 12, 16)",4,8,15,6,12,16,27,34,0.3867374,1.0
186,"(2, 4, 6)","(10, 11, 20)",2,4,6,10,11,20,12,41,0.07890411,0.0
187,"(3, 13, 16)","(1, 12, 19)",3,13,16,1,12,19,32,32,0.5,1.0
188,"(2, 10, 14)","(9, 11, 14)",2,10,14,9,11,14,26,34,0.36899564,1.0
189,"(3, 5, 9)","(3, 4, 17)",3,5,9,3,4,17,17,24,0.33410406,0.0
190,"(7, 8, 12)","(7, 14, 17)",7,8,12,7,14,17,27,38,0.3354809,0.0
191,"(6, 9, 18)","(11, 15, 16)",6,9,18,11,15,16,33,42,0.38170347,1.0
192,"(6, 7, 15)","(4, 15, 16)",6,7,15,4,15,16,28,35,0.3902439,0.0
193,"(3, 10, 18)","(1, 8, 17)",3,10,18,1,8,17,31,26,0.5870495,0.0
194,"(13, 15, 20)","(3, 11, 19)",13,15,20,3,11,19,48,33,0.6790451,0.0
195,"(1, 8, 15)","(4, 5, 9)",1,8,15,4,5,9,24,18,0.64,0.0
196,"(3, 8, 17)","(12, 14, 19)",3,8,17,12,14,19,28,45,0.2791029,0.0
197,"(1, 11, 20)","(12, 16, 17)",1,11,20,12,16,17,32,45,0.33584782,0.0
198,"(3, 8, 13)","(5, 11, 20)",3,8,13,5,11,20,24,36,0.30769232,1.0
199,"(13, 16, 18)","(12, 19, 20)",13,16,18,12,19,20,47,51,0.45925155,1.0
200,"(3, 11, 14)","(4, 7, 16)",3,11,14,4,7,16,28,27,0.5181758,1.0
201,"(11, 14, 15)","(4, 5, 14)",11,14,15,4,5,14,40,23,0.75152653,1.0
202,"(4, 14, 20)","(9, 13, 20)",4,14,20,9,13,20,38,42,0.45012468,0.0
203,"(7, 9, 19)","(6, 14, 20)",7,9,19,6,14,20,35,40,0.43362832,0.0
204,"(4, 9, 17)","(5, 7, 9)",4,9,17,5,7,9,30,21,0.67114097,1.0
205,"(2, 14, 15)","(4, 9, 16)",2,14,15,4,9,16,31,29,0.53329635,1.0
206,"(8, 10, 17)","(7, 10, 16)",8,10,17,7,10,16,35,33,0.52938634,1.0
207,"(13, 19, 20)","(8, 9, 14)",13,19,20,8,9,14,52,31,0.7377899,0.0
208,"(2, 13, 18)","(4, 14, 15)",2,13,18,4,14,15,33,33,0.5,0.0
209,"(8, 12, 16)","(1, 4, 6)",8,12,16,1,4,6,36,11,0.9146083,1.0
210,"(2, 13, 15)","(1, 10, 11)",2,13,15,1,10,11,30,22,0.650289,1.0
211,"(7, 11, 20)","(1, 16, 20)",7,11,20,1,16,20,38,37,0.51333094,1.0
212,"(8, 14, 15)","(4, 10, 12)",8,14,15,4,10,12,37,26,0.66943765,0.0
213,"(4, 8, 19)","(6, 8, 11)",4,8,19,6,8,11,31,25,0.6059269,0.0
214,"(7, 15, 17)","(8, 17, 20)",7,15,17,8,17,20,39,45,0.428934,0.0
215,"(2, 15, 17)","(2, 9, 17)",2,15,17,2,9,17,34,28,0.5958763,1.0
216,"(1, 7, 18)","(8, 13, 18)",1,7,18,8,13,18,26,39,0.30769232,0.0
217,"(1, 9, 14)","(6, 14, 19)",1,9,14,6,14,19,24,39,0.2746781,0.0
218,"(4, 8, 16)","(1, 5, 13)",4,8,16,1,5,13,28,19,0.68471617,1.0
219,"(11, 13, 14)","(3, 9, 16)",11,13,14,3,9,16,38,28,0.6481149,1.0
220,"(1, 13, 16)","(3, 5, 11)",1,13,16,3,5,11,30,19,0.71371925,1.0
221,"(4, 9, 15)","(10, 16, 17)",4,9,15,10,16,17,28,43,0.2977592,0.0
222,"(7, 10, 14)","(11, 17, 18)",7,10,14,11,17,18,31,46,0.3123172,0.0
223,"(2, 6, 18)","(9, 11, 15)",2,6,18,9,11,15,26,35,0.35560232,0.0
224,"(7, 12, 17)","(5, 7, 15)",7,12,17,5,7,15,36,27,0.64,1.0
225,"(3, 5, 14)","(4, 14, 17)",3,5,14,4,14,17,22,35,0.28320655,0.0
226,"(9, 10, 12)","(3, 6, 7)",9,10,12,3,6,7,31,16,0.7896467,1.0
227,"(5, 13, 17)","(8, 11, 18)",5,13,17,8,11,18,35,37,0.47224364,0.0
228,"(5, 9, 14)","(1, 8, 14)",5,9,14,1,8,14,28,23,0.59710586,1.0
229,"(2, 4, 18)","(2, 15, 16)",2,4,18,2,15,16,24,33,0.34594595,0.0
230,"(4, 10, 14)","(1, 14, 19)",4,10,14,1,14,19,28,34,0.40412372,1.0
231,"(10, 11, 13)","(4, 14, 19)",10,11,13,4,14,19,34,37,0.4578218,1.0
232,"(1, 3, 8)","(3, 5, 7)",1,3,8,3,5,7,12,15,0.3902439,0.0
233,"(8, 9, 20)","(2, 6, 13)",8,9,20,2,6,13,37,21,0.7563536,1.0
234,"(4, 14, 17)","(3, 12, 18)",4,14,17,3,12,18,35,33,0.52938634,0.0
235,"(7, 12, 15)","(10, 11, 18)",7,12,15,10,11,18,34,39,0.43182668,1.0
236,"(6, 14, 16)","(5, 10, 17)",6,14,16,5,10,17,36,32,0.5586207,1.0
237,"(4, 7, 11)","(9, 11, 20)",4,7,11,9,11,20,22,40,0.23224568,0.0
238,"(3, 5, 17)","(11, 15, 16)",3,5,17,11,15,16,25,42,0.26161575,0.0
239,"(6, 9, 15)","(11, 13, 14)",6,9,15,11,13,14,30,38,0.38395905,0.0
240,"(1, 15, 19)","(3, 9, 16)",1,15,19,3,9,16,35,28,0.6097561,1.0
241,"(5, 14, 16)","(10, 14, 16)",5,14,16,10,14,16,35,40,0.43362832,0.0
242,"(1, 9, 12)","(11, 14, 16)",1,9,12,11,14,16,22,41,0.22355658,0.0
243,"(6, 12, 13)","(13, 15, 19)",6,12,13,13,15,19,31,47,0.3031546,0.0
244,"(6, 9, 16)","(3, 9, 16)",6,9,16,3,9,16,31,28,0.55071634,1.0
245,"(1, 8, 12)","(2, 9, 12)",1,8,12,2,9,12,21,23,0.45463917,1.0
246,"(8, 9, 19)","(5, 14, 17)",8,9,19,5,14,17,36,36,0.5,1.0
247,"(4, 5, 20)","(12, 13, 20)",4,5,20,12,13,20,29,45,0.29344034,0.0
248,"(8, 13, 19)","(11, 12, 19)",8,13,19,11,12,19,40,42,0.47562426,0.0
249,"(1, 4, 17)","(5, 12, 15)",1,4,17,5,12,15,22,32,0.32095492,1.0
250,"(2, 5, 6)","(1, 19, 20)",2,5,6,1,19,20,13,40,0.0955342,0.0
251,"(4, 14, 19)","(4, 6, 13)",4,14,19,4,6,13,37,23,0.7212856,1.0
252,"(2, 5, 16)","(7, 11, 17)",2,5,16,7,11,17,23,35,0.30159634,0.0
253,"(3, 7, 15)","(5, 10, 19)",3,7,15,5,10,19,25,34,0.35092646,1.0
254,"(6, 13, 19)","(3, 8, 20)",6,13,19,3,8,20,38,31,0.6004158,0.0
255,"(1, 16, 20)","(3, 8, 17)",1,16,20,3,8,17,37,28,0.6358569,0.0
256,"(6, 17, 20)","(1, 6, 9)",6,17,20,1,6,9,43,16,0.87838477,1.0
257,"(1, 10, 12)","(3, 4, 9)",1,10,12,3,4,9,23,16,0.67388535,1.0
258,"(2, 4, 16)","(6, 15, 18)",2,4,16,6,15,18,22,39,0.2413965,0.0
259,"(5, 14, 20)","(2, 10, 17)",5,14,20,2,10,17,39,29,0.6439458,1.0
260,"(8, 14, 20)","(16, 17, 20)",8,14,20,16,17,20,42,53,0.3857424,1.0
261,"(2, 4, 11)","(1, 8, 9)",2,4,11,1,8,9,17,18,0.47145188,1.0
262,"(3, 5, 7)","(5, 15, 17)",3,5,7,5,15,17,15,37,0.14115433,0.0
263,"(11, 18, 20)","(4, 15, 17)",11,18,20,4,15,17,49,36,0.6494455,0.0
264,"(15, 18, 20)","(9, 13, 16)",15,18,20,9,13,16,53,38,0.66047496,1.0
265,"(5, 13, 19)","(10, 16, 19)",5,13,19,10,16,19,37,45,0.40335888,0.0
266,"(4, 8, 16)","(5, 9, 10)",4,8,16,5,9,10,28,24,0.5764706,1.0
267,"(3, 9, 11)","(6, 9, 18)",3,9,11,6,9,18,23,33,0.32694685,1.0
268,"(6, 8, 9)","(7, 9, 18)",6,8,9,7,9,18,23,34,0.31394657,1.0
269,"(5, 15, 19)","(5, 6, 20)",5,15,19,5,6,20,39,31,0.6128122,1.0
270,"(3, 4, 17)","(2, 5, 12)",3,4,17,2,5,12,24,19,0.61472785,0.0
271,"(1, 3, 11)","(4, 6, 20)",1,3,11,4,6,20,15,30,0.2,1.0
272,"(2, 3, 5)","(2, 10, 17)",2,3,5,2,10,17,10,29,0.106269926,0.0
273,"(13, 15, 18)","(4, 10, 15)",13,15,18,4,10,15,46,29,0.7155901,0.0
274,"(4, 6, 8)","(6, 8, 12)",4,6,8,6,8,12,18,26,0.324,0.0
275,"(4, 12, 18)","(2, 7, 13)",4,12,18,2,7,13,34,22,0.70487803,0.0
276,"(4, 10, 18)","(2, 11, 17)",4,10,18,2,11,17,32,30,0.53222454,0.0
277,"(8, 13, 14)","(9, 11, 20)",8,13,14,9,11,20,35,40,0.43362832,1.0
278,"(1, 6, 15)","(3, 12, 19)",1,6,15,3,12,19,22,34,0.29512194,0.0
279,"(1, 8, 10)","(2, 6, 14)",1,8,10,2,6,14,19,22,0.42721894,1.0
280,"(2, 16, 17)","(7, 11, 16)",2,16,17,7,11,16,35,34,0.5144897,0.0
281,"(4, 13, 16)","(7, 11, 19)",4,13,16,7,11,19,33,37,0.4430431,0.0
282,"(6, 15, 20)","(9, 12, 15)",6,15,20,9,12,15,41,36,0.5646624,0.0
283,"(4, 14, 15)","(8, 10, 12)",4,14,15,8,10,12,33,30,0.54751134,1.0
